symbol,gene_id,diseaseid,score,evidencecount,name,parents,therapeuticareas
SLC1A1,ENSG00000106688,HP_0000407,0.3695798546847018,1,Sensorineural hearing impairment,[HP_0000364],[EFO_0000651]
SLC1A1,ENSG00000106688,MONDO_0009110,0.6193693187006689,127,dicarboxylic aminoaciduria,[MONDO_0019216],"[OTAR_0000018, OTAR_0000020]"
SLC1A1,ENSG00000106688,EFO_0004584,0.3833091376349009,3,mean platelet volume,"[EFO_0005036, EFO_0006846]",[EFO_0001444]
SLC1A1,ENSG00000106688,MONDO_0005090,0.4581665820350356,41,schizophrenia,[EFO_0005407],"[MONDO_0002025, EFO_0000618]"
SLC1A1,ENSG00000106688,EFO_0005772,0.273097600529431,2,neurodegenerative disease,[EFO_0009386],[EFO_0000618]
SLC1A1,ENSG00000106688,GO_0097336,0.33158968476423145,1,response to risperidone,[GO_0050896],[GO_0008150]
SLC1A1,ENSG00000106688,GO_0097332,0.2638355133850253,1,response to antipsychotic drug,[GO_0050896],[GO_0008150]
SLC1A1,ENSG00000106688,Orphanet_183763,0.26609749537298527,1,Rare genetic intellectual disability with developmental anomaly,[Orphanet_183757],[OTAR_0000018]
SLC1A2,ENSG00000110436,MONDO_0016022,0.5089886542340023,37,early myoclonic encephalopathy,"[MONDO_0100022, MONDO_0015653, MONDO_0016801, MONDO_0000412]","[OTAR_0000018, OTAR_0000020, EFO_0000618]"
SLC1A2,ENSG00000110436,EFO_0004713,0.43711676763539786,3,FEV/FEC ratio,"[EFO_0006841, EFO_0003892]",[EFO_0001444]
SLC1A2,ENSG00000110436,EFO_0004705,0.43956650697304667,7,hypothyroidism,[EFO_1000627],[EFO_0001379]
SLC1A2,ENSG00000110436,EFO_0003779,0.31570407407987794,2,Hashimoto's thyroiditis,[EFO_0006812],"[EFO_0001379, EFO_0000540]"
SLC1A2,ENSG00000110436,EFO_0001379,0.28930216073853343,1,endocrine system disease,[],[EFO_0001379]
SLC1A2,ENSG00000110436,HP_0200134,0.42877167295671853,9,Epileptic encephalopathy,[HP_0001298],[EFO_0000651]
SLC1A2,ENSG00000110436,EFO_0007010,0.29017799886581325,1,drug use measurement,[EFO_0001444],[EFO_0001444]
SLC1A2,ENSG00000110436,EFO_0006812,0.29068093556653324,1,autoimmune thyroid disease,"[MONDO_0000569, EFO_0005140, MONDO_0004126]","[EFO_0001379, EFO_0000540]"
SLC1A2,ENSG00000110436,MONDO_0014916,0.7471603358638957,46,"developmental and epileptic encephalopathy, 41","[MONDO_0018614, MONDO_0016022, MONDO_0100455]","[OTAR_0000020, EFO_0000618, OTAR_0000018]"
SLC1A2,ENSG00000110436,EFO_0009933,0.37102215470698574,2,Thyroid preparation use measurement,[EFO_0007010],[EFO_0001444]
SLC1A2,ENSG00000110436,MONDO_0030922,0.3695798546847018,1,"intellectual disability, autosomal dominant 56",[MONDO_0015802],"[MONDO_0002025, OTAR_0000018, EFO_0000618]"
SLC1A2,ENSG00000110436,EFO_1000627,0.28804494014445126,1,thyroid disease,[EFO_0001379],[EFO_0001379]
SLC1A2,ENSG00000110436,EFO_1001055,0.2876601212041999,1,myxedema,[EFO_0004705],[EFO_0001379]
SLC1A2,ENSG00000110436,MONDO_0005147,0.29798511934945116,2,type 1 diabetes mellitus,"[MONDO_0000569, MONDO_0000588, EFO_0000400]","[OTAR_0000020, EFO_0001379, EFO_0000540, EFO_0009605, EFO_0010282]"
SLC1A2,ENSG00000110436,EFO_0005772,0.45058506448180097,17,neurodegenerative disease,[EFO_0009386],[EFO_0000618]
SLC1A2,ENSG00000110436,MONDO_0044326,0.3695798546847018,1,developmental delay and seizures with or without movement abnormalities,[EFO_0010642],[EFO_0000618]
SLC1A2,ENSG00000110436,MONDO_0005148,0.4721780590012749,7,type 2 diabetes mellitus,[EFO_0000400],"[EFO_0001379, EFO_0009605, OTAR_0000020, EFO_0010282]"
SLC1A2,ENSG00000110436,EFO_0000400,0.29135024909991114,4,diabetes mellitus,"[EFO_0009406, MONDO_0001933]","[EFO_0001379, EFO_0009605, OTAR_0000020, EFO_0010282]"
SLC1A2,ENSG00000110436,MONDO_0018614,0.3695798546847018,1,undetermined early-onset epileptic encephalopathy,"[MONDO_0020071, MONDO_0020070, MONDO_0019216, MONDO_0015653]","[OTAR_0000018, OTAR_0000020, EFO_0000618]"
SLC1A2,ENSG00000110436,EFO_0004208,0.3680886840448125,2,Vitiligo,"[EFO_0005809, MONDO_0002406, EFO_0005140]","[EFO_0000540, EFO_0010285]"
SLC1A2,ENSG00000110436,MONDO_0100062,0.5089886542340023,37,developmental and epileptic encephalopathy,"[MONDO_0100022, MONDO_0100038, MONDO_0100500, EFO_0005917]","[OTAR_0000018, EFO_0000618]"
SLC1A3,ENSG00000079215,EFO_0020092,0.3695798546847018,1,neuroinflammatory disorder,"[EFO_0009386, MONDO_0002977]","[EFO_0000540, EFO_0000618]"
SLC1A3,ENSG00000079215,EFO_0010972,0.4175905774169733,2,blood phosphate measurement,[EFO_0001444],[EFO_0001444]
SLC1A3,ENSG00000079215,MONDO_0016227,0.41186272585298644,9,hereditary episodic ataxia,[EFO_0009671],"[OTAR_0000018, EFO_0000618]"
SLC1A3,ENSG00000079215,MONDO_0012982,0.746403713417869,124,episodic ataxia type 6,"[MONDO_0016227, MONDO_0019216]","[OTAR_0000018, OTAR_0000020, EFO_0000618]"
SLC1A3,ENSG00000079215,EFO_0004713,0.41719612643816084,2,FEV/FEC ratio,"[EFO_0006841, EFO_0003892]",[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0007986,0.37399117414498073,2,reticulocyte count,[EFO_0010700],[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0010700,0.30131467309503834,2,reticulocyte measurement,[EFO_0004503],[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0004533,0.49976796720693517,6,alkaline phosphatase measurement,"[EFO_0004512, EFO_0004747, EFO_0004582]",[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0009566,0.216773251817487,1,renal tubule disease,[EFO_0003086],[EFO_0009690]
SLC1A3,ENSG00000079215,EFO_1000638,0.46197481835587717,2,Isaacs syndrome,[EFO_0000618],[EFO_0000618]
SLC1A3,ENSG00000079215,EFO_0005772,0.4904755820981901,7,neurodegenerative disease,[EFO_0009386],[EFO_0000618]
SLC1A3,ENSG00000079215,GO_0007568,0.26883418577057583,1,aging,[GO_0032502],[GO_0008150]
SLC1A3,ENSG00000079215,MONDO_0001085,0.216773251817487,1,interstitial nephritis,[EFO_1002050],[EFO_0009690]
SLC1A3,ENSG00000079215,EFO_0004514,0.42170181674622936,2,bone quantitative ultrasound measurement,[EFO_0004516],[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0004695,0.27319463867978205,1,intraocular pressure measurement,[EFO_0004731],[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0007825,0.32463902069762146,1,balding measurement,[EFO_0007821],[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0007822,0.32776579299129643,1,hair colour measurement,[EFO_0007821],[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0009270,0.5091205095459538,7,heel bone mineral density,[EFO_0003923],[EFO_0001444]
SLC1A3,ENSG00000079215,EFO_0007620,0.2390137995774407,1,volumetric bone mineral density,[EFO_0004516],[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_0000275,0.20412233917977327,2,atrial fibrillation,"[EFO_0004269, MONDO_0007263]",[EFO_0000319]
SLC1A4,ENSG00000115902,EFO_0000508,0.40813393302250595,14,genetic disorder,[OTAR_0000018],[OTAR_0000018]
SLC1A4,ENSG00000115902,EFO_0004725,0.33154986242527446,2,metabolite measurement,[EFO_0001444],[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_0004723,0.31419434428049686,1,coronary artery calcification,[HP_0001626],[EFO_0000651]
SLC1A4,ENSG00000115902,MONDO_0014725,0.791542578976847,41,spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome,[MONDO_0018162],"[OTAR_0000018, OTAR_0000020]"
SLC1A4,ENSG00000115902,EFO_0005664,0.39402042834091955,2,blood metabolite measurement,[EFO_0004725],[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_0005653,0.39418540660231266,2,serum metabolite measurement,[EFO_0004725],[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_0005571,0.24406468860104816,1,osteochondrodysplasia,[EFO_0005541],[OTAR_0000006]
SLC1A4,ENSG00000115902,EFO_0004747,0.3207188901140155,2,protein measurement,[EFO_0001444],[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_0004327,0.2856912247653593,4,electrocardiography,[EFO_0004311],[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_1002009,0.39497024977639295,2,macular telangiectasia type 2,[EFO_0003839],"[EFO_0000618, MONDO_0024458]"
SLC1A4,ENSG00000115902,EFO_0005134,0.3150838181581926,1,amino acid measurement,[EFO_0001444],[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_0005090,0.25104243692474437,2,basophil count,"[EFO_0004872, EFO_0803539, EFO_0007987]",[EFO_0001444]
